image_id,width,height,label,x,y,w,h
maksssksksss220,960.0,960.0,1.0,0.51498127,0.2025,0.1835206,0.115
maksssksksss234,960.0,960.0,1.0,0.49375,0.28,0.1125,0.20444444
maksssksksss234,960.0,960.0,1.0,0.29375,0.47333333,0.0275,0.04888889
maksssksksss234,960.0,960.0,1.0,0.01875,0.35777777,0.0225,0.075555556
maksssksksss234,960.0,960.0,1.0,0.985,0.56666666,0.03,0.04888889
maksssksksss234,960.0,960.0,1.0,0.86625,0.58,0.0275,0.04888889
maksssksksss552,960.0,960.0,1.0,0.47875,0.27715355,0.1825,0.27715355
maksssksksss585,960.0,960.0,0.0,0.0775,0.34962407,0.12,0.117794484
maksssksksss585,960.0,960.0,1.0,0.33875,0.34210527,0.1275,0.12280702
maksssksksss585,960.0,960.0,1.0,0.48625,0.4310777,0.1625,0.1904762
maksssksksss585,960.0,960.0,0.0,0.605,0.3508772,0.065,0.100250624
maksssksksss585,960.0,960.0,1.0,0.74125,0.42982456,0.1475,0.14285715
maksssksksss585,960.0,960.0,0.0,0.92875,0.39097744,0.1425,0.13533835
maksssksksss591,960.0,960.0,1.0,0.415,0.51123595,0.145,0.2659176
maksssksksss290,960.0,960.0,1.0,0.815,0.28917912,0.06,0.108208954
maksssksksss290,960.0,960.0,1.0,0.49625,0.21268657,0.0725,0.1119403
maksssksksss290,960.0,960.0,1.0,0.71375,0.29104477,0.0525,0.09701493
maksssksksss290,960.0,960.0,1.0,0.66625,0.3302239,0.0525,0.048507463
maksssksksss290,960.0,960.0,1.0,0.25875,0.37873134,0.0725,0.108208954
maksssksksss290,960.0,960.0,1.0,0.35875,0.37686568,0.0525,0.08955224
maksssksksss290,960.0,960.0,1.0,0.91875,0.375,0.0125,0.018656716
maksssksksss284,960.0,960.0,1.0,0.16625,0.15265487,0.0475,0.084070794
maksssksksss284,960.0,960.0,1.0,0.29625,0.048672568,0.0425,0.07964602
maksssksksss284,960.0,960.0,1.0,0.22625,0.30309734,0.0475,0.10176991
maksssksksss284,960.0,960.0,1.0,0.355,0.15044248,0.055,0.10619469
maksssksksss284,960.0,960.0,1.0,0.39375,0.03318584,0.0325,0.057522126
maksssksksss284,960.0,960.0,1.0,0.4875,0.059734512,0.035,0.06637168
maksssksksss284,960.0,960.0,1.0,0.86,0.2699115,0.155,0.30973452
maksssksksss509,960.0,960.0,1.0,0.49125,0.12888889,0.2275,0.2488889
maksssksksss253,960.0,960.0,1.0,0.34875,0.22,0.1075,0.16666667
maksssksksss253,960.0,960.0,1.0,0.49875,0.28666666,0.0425,0.06666667
maksssksksss253,960.0,960.0,1.0,0.47125,0.46833333,0.0725,0.10333333
maksssksksss253,960.0,960.0,1.0,0.5575,0.45833334,0.07,0.09
maksssksksss253,960.0,960.0,1.0,0.53375,0.6616667,0.0975,0.11666667
maksssksksss253,960.0,960.0,2.0,0.7675,0.53833336,0.1,0.11666667
maksssksksss253,960.0,960.0,0.0,0.58,0.30666667,0.03,0.04
maksssksksss253,960.0,960.0,0.0,0.40875,0.31,0.0425,0.06666667
maksssksksss253,960.0,960.0,0.0,0.10125,0.24333334,0.0425,0.10666667
maksssksksss253,960.0,960.0,0.0,0.98125,0.28333333,0.0375,0.053333335
maksssksksss535,960.0,960.0,1.0,0.1275,0.17816092,0.04,0.0651341
maksssksksss535,960.0,960.0,1.0,0.26375,0.18199234,0.0625,0.118773945
maksssksksss535,960.0,960.0,0.0,0.59375,0.19923371,0.0225,0.03065134
maksssksksss535,960.0,960.0,0.0,0.695,0.21455939,0.025,0.038314175
maksssksksss535,960.0,960.0,1.0,0.81,0.16475096,0.03,0.06130268
maksssksksss535,960.0,960.0,1.0,0.90125,0.18773946,0.0375,0.06896552
maksssksksss521,960.0,960.0,0.0,0.55375,0.37333333,0.2175,0.43555555
maksssksksss247,960.0,960.0,1.0,0.0575,0.22659177,0.07,0.086142324
maksssksksss247,960.0,960.0,1.0,0.19,0.20973782,0.065,0.09737828
maksssksksss247,960.0,960.0,1.0,0.315,0.20411985,0.07,0.101123594
maksssksksss247,960.0,960.0,1.0,0.40625,0.23970038,0.0625,0.06741573
maksssksksss247,960.0,960.0,1.0,0.45875,0.24531835,0.0625,0.101123594
maksssksksss247,960.0,960.0,1.0,0.70625,0.22097379,0.0625,0.1423221
maksssksksss247,960.0,960.0,1.0,0.84625,0.28651685,0.0725,0.13108614
maksssksksss247,960.0,960.0,1.0,0.89625,0.55243444,0.0775,0.14606741
maksssksksss247,960.0,960.0,1.0,0.80875,0.63670415,0.0825,0.11235955
maksssksksss247,960.0,960.0,1.0,0.61125,0.6142322,0.0725,0.11985019
maksssksksss247,960.0,960.0,1.0,0.52375,0.505618,0.0675,0.1423221
maksssksksss247,960.0,960.0,1.0,0.35,0.5955056,0.09,0.11235955
maksssksksss247,960.0,960.0,1.0,0.14125,0.505618,0.0725,0.12734082
maksssksksss737,960.0,960.0,1.0,0.0925,0.27876106,0.045,0.07079646
maksssksksss737,960.0,960.0,1.0,0.26125,0.30973452,0.0325,0.07079646
maksssksksss737,960.0,960.0,2.0,0.44,0.30973452,0.085,0.17699115
maksssksksss737,960.0,960.0,1.0,0.7575,0.30752212,0.05,0.092920355
maksssksksss737,960.0,960.0,1.0,0.905,0.2721239,0.05,0.092920355
maksssksksss737,960.0,960.0,1.0,0.58625,0.27876106,0.0325,0.088495575
maksssksksss723,960.0,960.0,1.0,0.34875,0.78097343,0.1125,0.2079646
maksssksksss723,960.0,960.0,1.0,0.53125,0.13495575,0.0425,0.092920355
maksssksksss723,960.0,960.0,0.0,0.73625,0.12610619,0.0625,0.10176991
maksssksksss723,960.0,960.0,1.0,0.63375,0.38053098,0.0525,0.10619469
